name,url,zone_tags,offer_tags,price_band,notes
(20+) (ซื้อ/ขาย/เช่า) คอนโด บ้าน ในกรุงเทพฯBangkok condo,https://www.facebook.com/groups/317668643714834,bangkok,"rent,sale,condo,house",,
(20+) [Market] ซื้อ ขาย เช่า ฝากขาย คอนโด ใกล้รถไฟฟ้า,https://www.facebook.com/groups/774629652726107,,"rent,sale,condo",,
(20+) BANGKOK CONDO EXCHANGE CENTER 曼谷公寓交易中心,https://www.facebook.com/groups/918513708275659,bangkok,condo,,
(20+) Bangkok Condo for Rent and Sale ซื้อ ขาย เช่า คอนโดติดรถไฟฟ้า,https://www.facebook.com/groups/133594553855013,bangkok,"rent,sale,condo",,
(20+) Bangkok Condo For RENT “BTS”,https://www.facebook.com/groups/1844097492352789,bangkok,"rent,condo",,
(20+) Bangkok Condo For SALE / RENT,https://www.facebook.com/groups/169393537179516,bangkok,"rent,sale,condo",,
(20+) BANGKOK EXPATS / Houses / Condos - for Rent and Sale,https://www.facebook.com/groups/1505551913613649,bangkok,"rent,sale,condo,house,expat",,
(20+) BANGKOK EXPATS CLASSIFIEDS FORUM,https://www.facebook.com/groups/493801904328548,bangkok,expat,,
(20+) Bangkok Expats condo-house for rent (short term / long term),https://www.facebook.com/groups/661207761960248,bangkok,"rent,condo,house,expat",,
(20+) Casa Condo Asoke - Dindaeng คาซ่า คอนโด อโศก - ดินแดง คอนโดให้เช่า,https://www.facebook.com/groups/1042398696482055,asoke,"rent,condo",,
(20+) CONDO EXCHANGE CENTER TH ซื้อ ขาย เช่า คอนโด,https://www.facebook.com/groups/1818017401691955,,"rent,sale,condo",,
(20+) Condo for rent and sale by owner สุขุมวิท อโศก พระราม9 รัชดา ทั่วกรุงเทพฯ,https://www.facebook.com/groups/361471262561151,"rama9,asoke,ratchada,sukhumvit","rent,sale,condo",,
(20+) CONDO FOR RENT ASOKE-RAMA9 / RATCHADA - คอนโดให้เช่า อโศก-พระราม9 / รัชดา,https://www.facebook.com/groups/299669732398889,"rama9,asoke,ratchada","rent,condo",,
(20+) Condo for rent Bangkok Sukhumvit คอนโดให้เช่า กรุงเทพ สุขุมวิท ใกล้bts,https://www.facebook.com/groups/2046245172358040,sukhumvit,"rent,condo",,
(20+) Condo for Sale & Rent Thailand คอนโด ให้เช่า-ขาย ทั่วประเทศไทย,https://www.facebook.com/groups/340611486058589,,"rent,sale,condo",,
(20+) Condo Luxury & Big Size Double Volume Bangkok,https://www.facebook.com/groups/986401071459016,bangkok,condo,,
(20+) Condo Marketplace: รัชดาภิเษก ห้วยขวาง สุทธิสาร ศูนย์วัฒนธรรม เหม่งจ๋าย,https://www.facebook.com/groups/1756597841090354,"huaikhwang,ratchada",condo,,
(20+) Condo MRT BTS BKK buy rent คอนโด ขาย เช่า กรุงเทพ,https://www.facebook.com/groups/258515753348994,bangkok,"rent,sale,condo",,
(20+) Condo Only ซื้อขายเช่า “คอนโด” เท่านั้น,https://www.facebook.com/groups/828001787348618,,"rent,sale,condo",,
(20+) Condo rental by Owner คอนโดเจ้าของปล่อยเช่าเอง,https://www.facebook.com/groups/458098031664389,,"rent,condo",,
(20+) Condo เช่า ​ซื้อ-ขาย คอนโด​ ให้เช่าเท่านั้น​ กรุงเทพ​ ปริมณฑล​,https://www.facebook.com/groups/1604160379797295,bangkok,"rent,sale,condo",,
"(20+) Condo, House, Land For Rent & Sale in Thailand",https://www.facebook.com/groups/2375208805830473,,"rent,sale,condo,house",,
(20+) Condohub ซื้อ ขาย เช่า คอนโดทุกโครงการ ใกล้ BTS MRT ราคาถูกสุด,https://www.facebook.com/groups/1986622261663799,,"rent,sale,condo",,
(20+) Condos For Rent/Sale In Bangkok,https://www.facebook.com/groups/1614893802095229,bangkok,"rent,sale,condo",,
(20+) FIHOME ขายคอนโด ฝั่งธน by THREETREE STUDIO,https://www.facebook.com/groups/1321696481266145,,"sale,condo",,
(20+) FIHOME ขายคอนโด แนวรถไฟฟ้า by THREETREE STUDIO,https://www.facebook.com/groups/1571998213067410,,"sale,condo",,
(20+) Home Office โฮมออฟฟิศ บ้านให้เช่ากรุงเทพ ทาวน์โฮม อาคารพาณิชย์,https://www.facebook.com/groups/3559933737655458,bangkok,"rent,house,office",,
(20+) HomeOffice for rent - เช่าโฮมออฟฟิศ เช่าสำนักงาน โฮมออฟฟิศให้เช่า,https://www.facebook.com/groups/1647572298965463,,"rent,office",,
(20+) IDEO New Rama 9 ไอดีโอ นิว พระราม 9 ตัดใหม่ คอนโดให้เช่า,https://www.facebook.com/groups/558263495704357,rama9,"rent,condo",,
