รหัส,ที่มา,วันที่,โครงการ,ประเภท,ห้อง,ตรม.,ชั้น,เช่า,ขาย,ทำเล,สถานี,ต้นทาง,เจ้าของ,ที่โพสต์,เพจ,หมายเหตุ
PTP8243,ชีท,25/07/2026,ที่ดินเปล่า สุขุมวิท 101 ซอยปุณณวิถี 39,อื่นๆ,,764,,,"76,400,000","แบริ่ง, สุขุมวิท",BTS แบริ่ง,https://www.facebook.com/share/p/1BRK4jMtL7/,https://www.facebook.com/K.Tassanaekajit/,,,
PTP8242,ชีท,25/07/2026,Ceil by Sansiri (ซีล บาย แสนสิริ),คอนโด,1 Bed 1 Bath,35,6,"18,000",,"ทองหล่อ, อโศก, สุขุมวิท, เอกมัย",BTS เอกมัย,https://www.facebook.com/share/p/197zDN2u5y/?,,,,
PTP8241,ชีท,25/07/2026,59 Heritage (59 เฮอริเทจ),คอนโด,2 Bed 2 Bath,75,11,"35,000",,"ทองหล่อ, อโศก, สุขุมวิท, เอกมัย","BTS ทองหล่อ, BTS เอกมัย",https://www.facebook.com/share/p/1994wQB1mr/?,,,,
PTP8240,ชีท,25/07/2026,Prasanmit Condominium (ประสานมิตร คอนโดมิเนียม),คอนโด,2 Bed 1 Bath,68.5,7,"32,000",,"อโศก, มศว ประสานมิตร",BTS อโศก,https://www.facebook.com/share/p/18qSoxAPAw/,https://www.facebook.com/worrapol.jarunavin/,,,
PTP8239,ชีท,25/07/2026,Life Sukhumvit 48 (ไลฟ์ สุขุมวิท 48),คอนโด,1 Bed + 1 Bath,40,12,"22,000",,"อ่อนนุช, อุดมสุข, พระโขนง","BTS พระโขนง, BTS อ่อนนุช",https://www.facebook.com/share/p/1BrZhedk3X/,https://www.facebook.com/nuttae.nuttapon/,,,
PTP8238,ชีท,25/07/2026,Le Luk Condominium (เลอ ลักซ์ คอนโดมิเนียม),คอนโด,2 Bed 2 Bath,60.56,38,"35,000",,"พระโขนง, เอกมัย","BTS พระโขนง, BTS เอกมัย",https://www.facebook.com/share/p/1GWdN5v7g4/,https://www.facebook.com/profile.php?id=61591845267114,,,
PTP8237,ชีท,25/07/2026,The Base Park East Sukhumvit 77 (เดอะ เบส พาร์คอีสท์ สุขุมวิท 77),คอนโด,1 Bed 1 Bath,26,5,"13,000",,"อ่อนนุช, สุขุมวิท, พระโขนง, บางจาก","BTS อ่อนนุช, BTS พระโขนง, BTS บางจาก",https://www.facebook.com/share/1E7Xcm7bRF/?mibextid=wwXIfr,https://www.facebook.com/n.secretbase/,,,
PTP8236,ชีท,25/07/2026,The Glamor Ekkamai - Praditmanutham (ดิ แกลมเมอร์ เอกมัย - ประดิษฐ์มนูธรรม),บ้าน,3 Bed,412,3,"180,000",,"เอกมัย, ทองหล่อ","BTS เอกมัย, BTS ทองหล่อ",https://www.facebook.com/share/p/19FUuBJrMD/?mibextid=wwXIfr,,,,
PTP8235,ชีท,25/07/2026,Niche Pride Thonglor-Phetchaburi (นิช ไพรด์ ทองหล่อ - เพชรบุรี),คอนโด,1 Bed 1 Bath,30,21,"15,000",,"ทองหล่อ, เพชรบุรีตัดใหม่, RCA, โรงพยาบาลกรุงเทพ, มศว ประสานมิตร","MRT เพชรบุรี, BTS ทองหล่อ, ARL มักกะสัน",https://www.facebook.com/share/p/18dMR4ZSUU/,https://www.facebook.com/akharavat/,,,
PTP8234,ชีท,25/07/2026,Niche Pride Thonglor-Phetchaburi (นิช ไพรด์ ทองหล่อ - เพชรบุรี),คอนโด,1 Bed 1 Bath,31,12A,"16,500",,"ทองหล่อ, เพชรบุรีตัดใหม่, RCA, โรงพยาบาลกรุงเทพ, มศว ประสานมิตร","MRT เพชรบุรี, BTS ทองหล่อ, ARL มักกะสัน",https://www.facebook.com/share/p/1CxGjGLeC5/,https://www.facebook.com/parnpalinpicha/,,,
PTP8233,ชีท,25/07/2026,The Base Garden Rama 9 (เดอะ เบส การ์เดน พระราม 9),คอนโด,1 Bed 1 Bath,31,22,"14,000",,"เพชรบุรีตัดใหม่, RCA, พระราม 9, รามคำแหง",ARL รามคำแหง,https://www.facebook.com/share/p/1cjEgMKkki/?mibextid=wwXIfr,,,,
PTP8232,ชีท,25/07/2026,The Trendy Condominium (เดอะ เทรนดี้ คอนโดมิเนียม),คอนโด,Studio  1 Bath,40,8,"16,000",,"นานา, อโศก","BTS นานา, BTS อโศก, MRT สุขุมวิท",https://www.facebook.com/share/1MG57eoxug/?mibextid=wwXIfr,,https://www.facebook.com/share/p/1CSxeQBJVy/?mibextid=wwXIfr,https://www.facebook.com/share/p/1Et9GNFSmU/?mibextid=wwXIfr,
PTP8231,ชีท,24/07/2026,อาคารสำนักงาน ซ. อ่อนนุช 66 แยก19-12-7,พื้นที่ให้เช่า/ขาย,,484,4.5,"66,000",,"อ่อนนุช, พระโขนง, บางจาก","BTS อ่อนนุช, BTS พระโขนง, BTS บางจาก",https://www.facebook.com/share/p/19Tr3J74Mr/,https://www.facebook.com/nisa.mni.khanthxng/,https://www.facebook.com/share/p/1AUWZfjq4v/?mibextid=wwXIfr,https://www.facebook.com/share/p/1C8xhqXSpa/?mibextid=wwXIfr,
PTP8230,ชีท,24/07/2026,The Capital Ekamai - Thonglor (เดอะ แคปิตอล เอกมัย - ทองหล่อ),คอนโด,1 Bed 1 Bath,35.6,16,"20,000","3,800,000","เอกมัย, ทองหล่อ","BTS เอกมัย, BTS ทองหล่อ",https://www.facebook.com/share/p/1PgTHMCBt5/,https://www.facebook.com/Cherlinvrcwp/,https://www.facebook.com/share/p/1CEXrGaXoA/?mibextid=wwXIfr,https://www.facebook.com/share/p/14kKrb6bByn/?mibextid=wwXIfr,
PTP8229,ชีท,24/07/2026,NIA by Sansiri (เนีย บาย แสนสิริ),คอนโด,2 Bed 2 Bath,54,,"30,000",,"อ่อนนุช, อุดมสุข, พระโขนง, เจริญนคร","BTS พระโขนง, BTS กรุงธนบุรี, BTS เจริญนคร",https://www.facebook.com/share/p/1858sbHD6C/,https://www.facebook.com/herzhiyao/,https://www.facebook.com/share/p/18yfo1pKiF/?mibextid=wwXIfr,https://www.facebook.com/share/p/1DcGVNQFxc/?mibextid=wwXIfr,
PTP8228,ชีท,24/07/2026,I CONDO Sukhumvit 103 (ไอ คอนโด สุขุมวิท 103),คอนโด,2 Bed 2 Bath,49,5,"18,000",,"แบริ่ง, สุขุมวิท",BTS แบริ่ง,https://www.facebook.com/share/p/1JXf5mABgC/,https://www.facebook.com/aon.rattanavadee/,https://www.facebook.com/share/p/1BM6RsM2E2/?mibextid=wwXIfr,https://www.facebook.com/share/p/1XsTxQDhQK/?mibextid=wwXIfr,
PTP8227,ชีท,24/07/2026,Noble Reveal (โนเบิล รีวิล),คอนโด,1 Bed 1 Bath,54,24,"36,000",,"ทองหล่อ, อโศก, สุขุมวิท, เอกมัย, พระโขนง","BTS เอกมัย, BTS ทองหล่อ, BTS พระโขนง",https://www.facebook.com/share/p/1Bben9Usvs/?,,https://www.facebook.com/share/p/1BdGcSEA1d/?mibextid=wwXIfr,https://www.facebook.com/share/p/14iQeFLcGtC/?mibextid=wwXIfr,
PTP8226,ชีท,24/07/2026,Landmark @ MRTA Station (แลนด์มาร์ค แอท เอ็มอาร์ทีเอ สเตชั่น ),คอนโด,Duplex 1 Bed 1 Bath,37.5,7,"23,000",,เจริญนคร,"BTS กรุงธนบุรี, BTS เจริญนคร",https://www.facebook.com/share/p/1JSPLE9U4s/?mibextid=wwXIfr,,https://www.facebook.com/share/p/1ESYwVGCSA/?mibextid=wwXIfr,https://www.facebook.com/share/p/1Ad25VDyDT/?mibextid=wwXIfr,
PTP8225,ชีท,24/07/2026,D 50 Private Apartment (ดี ฟิฟตี้ อพาร์ทเม้น),คอนโด,1 Bed 1 Bath,45,,"22,000",,อ่อนนุช,BTS อ่อนนุช,https://www.facebook.com/share/p/1JTPAfzpF9/,https://www.facebook.com/danu.sukhavat/,https://www.facebook.com/share/p/1C8tUKXSwd/?mibextid=wwXIfr,https://www.facebook.com/share/p/1EHt455eZc/?mibextid=wwXIfr,
